Evolution Environment	Clone	fitness in SC	replicate deviations SC	fitness in .8 M	replicate deviations .8 M	fitness in .4 M	replicate deviations .4 M	fitness in .2 M	replicate deviations .2 M	fitness in 21 C	replicate deviations 21 C	fitness in 34 C	replicate deviations 34 C	fitness in 37 C	replicate deviations 37 C	fitness in pH 3	replicate deviations pH 3	fitness in pH 3.8	replicate deviations pH 3.8	fitness in pH 6	replicate deviations pH 6	fitness in pH 7.3	replicate deviations pH 7.3	fitness in .07% glu	replicate deviations .07% glu	fitness in .4% glu	replicate deviations .4% glu	fitness in gal	replicate deviations gal	fitness in med eth	replicate deviations med eth	killer virus status	number of generations of evolution	Ploidy
Evolved in pH 3.8	clone20	-0.0006	-0.0008,0.0006,0.0002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0158	-0.0012,0.003,-0.0018	0.0047	-0.0006,0.0014,-0.0008	-0.0461	0.0011,-0.0031,0.002	-0.0435	-0.0,0.0017,-0.0017	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 6	clone1	-0.0611	0.003,-0.0038,0.0008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0547	0.0124,-0.0298,0.0174	-0.0183	-0.0021,0.0009,0.0011	-0.0092	0.0144,-0.0088,-0.0056	-0.036	-0.0039,-0.0231,0.027	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 6	clone2	0.0008	0.0019,0.0035,-0.0054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0256	-0.0023,0.0006,0.0017	0.0128	-0.0019,0.0023,-0.0004	0.0061	0.0024,0.0029,-0.0053	0.0182	0.0006,-0.0042,0.0036	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Diploid
Evolved in pH 6	clone3	0.0125	-0.0071,0.0046,0.0025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0126	0.0013,-0.0003,-0.001	0.0073	0.0066,-0.0052,-0.0014	0.0329	-0.0029,0.0021,0.0009	0.0282	0.001,0.0045,-0.0055	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 6	clone4	0.0007	-0.0066,-0.0033,0.0099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0207	-0.0015,0.0014,0.0001	-0.0041	-0.0035,-0.0047,0.0082	0.0065	-0.011,0.0057,0.0053	0.0382	-0.0043,-0.0016,0.0059	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 6	clone5	-0.0864	-0.002,0.0016,0.0004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0728	0.0043,-0.0066,0.0023	-0.0069	-0.0025,-0.0004,0.0029	0.0034	-0.0051,-0.005,0.01	0.0373	-0.0034,-0.001,0.0044	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Undetermined
Evolved in pH 6	clone6	-0.1208	-0.0126,-0.0176,0.0302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0402	0.0031,-0.0005,-0.0026	-0.1298	0.0137,0.0215,-0.0353	0.0318	-0.0098,0.0017,0.0081	0.0723	-0.0071,0.005,0.0021	NA	NA	NA	NA	NA	NA	NA	NA	Virus lost	756	Diploid
Evolved in pH 6	clone7	0.0045	0.0017,0.0026,-0.0044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0178	0.0005,-0.0024,0.0019	-0.0	-0.0014,-0.0003,0.0016	0.0124	0.0008,-0.0003,-0.0004	0.0019	0.0007,0.0009,-0.0015	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 6	clone8	-0.0021	0.0024,-0.0023,-0.0001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0008	-0.0004,0.0002,0.0003	0.0077	0.0004,-0.0026,0.0021	0.0124	-0.0044,0.0025,0.0019	0.0028	-0.0028,0.0002,0.0026	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 6	clone9	0.0056	-0.0062,0.0007,0.0055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.026	-0.0037,0.0029,0.0008	0.0032	0.0001,-0.0022,0.0021	0.0295	-0.0034,-0.0005,0.0039	0.0205	0.0015,-0.0,-0.0015	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 6	clone10	-0.0317	0.0008,0.0004,-0.0011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0233	-0.0027,-0.0018,0.0045	-0.0273	-0.0005,0.0007,-0.0002	-0.013	-0.0019,0.004,-0.0021	-0.0416	-0.0025,0.0005,0.002	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 6	clone11	-0.0412	0.0019,0.0031,-0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0509	-0.0018,-0.0007,0.0025	-0.2258	0.0569,-0.0317,-0.0252	0.0179	-0.0037,0.0033,0.0004	0.0504	-0.0103,0.003,0.0073	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Diploid
Evolved in pH 6	clone12	-0.0042	-0.0025,-0.0,0.0026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0115	-0.0011,0.002,-0.001	0.0013	-0.0019,0.0017,0.0002	0.0122	-0.0036,0.0002,0.0034	-0.0313	0.0056,-0.0011,-0.0044	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 6	clone13	-0.0814	0.0042,-0.0082,0.0041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0282	-0.0015,-0.0012,0.0027	-0.2175	0.0109,-0.0008,-0.0101	-0.0269	-0.0017,0.0014,0.0003	0.0103	0.0061,-0.0027,-0.0034	NA	NA	NA	NA	NA	NA	NA	NA	Virus lost	756	Haploid
Evolved in pH 6	clone14	-0.0674	-0.003,0.002,0.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0058	-0.0033,-0.0,0.0033	-0.1783	0.0077,-0.0066,-0.0011	-0.0152	-0.0101,0.0005,0.0096	0.0259	0.0072,-0.0096,0.0023	NA	NA	NA	NA	NA	NA	NA	NA	Virus lost	756	Diploid
Evolved in pH 6	clone15	0.0083	0.0013,-0.0,-0.0013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0232	-0.0008,-0.0007,0.0015	-0.0012	-0.0009,0.0015,-0.0006	0.0214	-0.0012,0.0015,-0.0003	0.0046	-0.0058,0.0024,0.0034	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 6	clone17	0.002	0.0006,0.0053,-0.0059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0108	-0.0045,-0.0042,0.0087	-0.197	0.0,0.0033,-0.0033	0.005	0.0038,-0.0046,0.0008	-0.0943	-0.0081,-0.0103,0.0184	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 6	clone18	-0.0025	0.0109,0.0084,-0.0193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0269	-0.001,-0.0122,0.0131	-0.0553	-0.0044,0.005,-0.0006	0.0207	-0.0013,-0.0062,0.0075	0.038	-0.0082,-0.0041,0.0123	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 6	clone19	-0.0166	-0.001,-0.0005,0.0015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0073	0.002,0.0006,-0.0026	-0.0169	0.0011,0.002,-0.0031	0.0235	-0.0019,0.002,-0.0001	0.048	-0.0054,0.0013,0.0041	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Haploid
Evolved in pH 6	clone20	-0.1062	0.0023,-0.0084,0.0061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0675	0.0006,-0.0066,0.006	-0.0349	-0.0016,0.0023,-0.0007	0.0014	-0.006,-0.0037,0.0097	0.0513	-0.0058,0.0028,0.003	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	756	Diploid
Evolved in pH 7.3	clone1	0.0196	-0.0021,0.0028,-0.0007	-0.0232	-0.0032,-0.0031,0.0063	NA	NA	NA	NA	0.0172	-0.0029,-0.0043,0.0072	NA	NA	-0.0061	0.0008,0.0011,-0.0019	0.0331	-0.0042,0.0048,-0.0007	0.0075	0.001,0.0006,-0.0015	0.0226	-0.0078,0.0069,0.0008	0.054	-0.0052,-0.0008,0.0061	-0.001	-0.0005,0.0011,-0.0006	NA	NA	0.0035	0.0012,-0.0022,0.0009	NA	NA	Virus retained	495	Haploid
Evolved in pH 7.3	clone2	0.002	-0.0003,0.0,0.0003	0.0168	-0.0054,0.0004,0.005	NA	NA	NA	NA	-0.0259	0.0094,-0.0026,-0.0068	NA	NA	-0.0162	-0.0038,0.0012,0.0026	-0.0134	-0.0026,0.007,-0.0044	-0.0048	0.0008,-0.002,0.0013	0.017	0.0027,-0.0008,-0.0018	0.0456	-0.0041,-0.0027,0.0068	-0.0005	0.0004,-0.0001,-0.0003	NA	NA	-0.0052	-0.0005,0.0014,-0.0008	NA	NA	Virus retained	495	Haploid
Evolved in pH 7.3	clone3	-0.0014	0.0005,0.0001,-0.0007	0.0409	-0.0049,-0.0018,0.0067	NA	NA	NA	NA	-0.0223	0.003,0.0019,-0.0049	NA	NA	-0.0791	-0.004,-0.001,0.0049	-0.0101	-0.0005,0.0047,-0.0042	-0.0034	-0.0004,0.0004,-0.0001	0.021	0.0003,0.0015,-0.0018	0.0574	-0.0003,-0.0063,0.0066	-0.0019	-0.001,-0.0001,0.0011	NA	NA	-0.0049	-0.005,0.0037,0.0013	NA	NA	Virus retained	495	Haploid
Evolved in pH 7.3	clone4	-0.1084	-0.0001,-0.0014,0.0014	-0.0176	0.0039,-0.0048,0.0009	NA	NA	NA	NA	-0.133	0.0417,-0.01,-0.0318	NA	NA	-0.0368	0.0033,-0.0012,-0.002	-0.0039	-0.0019,0.0007,0.0012	-0.1919	-0.0011,0.0102,-0.0091	0.0097	-0.0015,-0.0003,0.0018	0.0281	0.0036,-0.0022,-0.0013	-0.004	-0.0004,0.0019,-0.0016	NA	NA	-0.1103	-0.007,-0.0068,0.0138	NA	NA	Virus lost	495	Haploid
Evolved in pH 7.3	clone5	-0.0296	-0.0001,0.0025,-0.0024	0.0493	-0.0057,0.0022,0.0035	NA	NA	NA	NA	-0.0535	0.0021,-0.0023,0.0002	NA	NA	-0.0438	0.0006,0.0004,-0.0011	-0.0062	-0.0001,-0.0003,0.0004	-0.031	-0.0003,0.0002,0.0001	-0.0096	0.0006,0.0006,-0.0012	0.0227	-0.0022,-0.0029,0.0051	0.0044	0.0028,-0.0014,-0.0014	NA	NA	-0.0322	-0.0019,0.0034,-0.0015	NA	NA	Virus retained	495	Diploid
Evolved in pH 7.3	clone6	-0.0362	-0.0029,0.0014,0.0015	-0.031	-0.0002,-0.0023,0.0025	NA	NA	NA	NA	-0.0204	-0.0033,0.0017,0.0016	NA	NA	-0.0842	0.013,-0.0074,-0.0055	-0.0609	0.0007,-0.0032,0.0025	-0.0345	-0.0001,0.0005,-0.0004	-0.0152	-0.0008,0.0002,0.0006	-0.0201	-0.0008,-0.0042,0.005	-0.0048	-0.0005,-0.0003,0.0008	NA	NA	-0.0087	-0.0025,0.0002,0.0023	NA	NA	Virus retained	495	Haploid
Evolved in pH 7.3	clone7	-0.1233	0.0162,-0.0033,-0.013	-0.0604	-0.0059,0.0018,0.0041	NA	NA	NA	NA	-0.0799	0.0157,0.0026,-0.0183	NA	NA	-0.0669	0.0123,0.0004,-0.0127	0.0245	-0.0017,0.0009,0.0008	-0.1337	-0.0094,0.0096,-0.0002	0.0012	0.0048,-0.0079,0.0031	0.0119	-0.0023,0.0012,0.0012	-0.0486	-0.0067,0.0009,0.0058	NA	NA	-0.1476	0.0129,-0.0271,0.0143	NA	NA	Virus lost	495	Haploid
Evolved in pH 7.3	clone8	-0.0908	-0.0043,0.0023,0.002	-0.0107	0.0058,0.0032,-0.009	NA	NA	NA	NA	0.0044	0.0003,-0.0073,0.007	NA	NA	-0.085	0.0047,-0.0033,-0.0014	-0.0299	0.0001,-0.006,0.0058	-0.0199	-0.0006,0.0002,0.0005	-0.0071	-0.0085,0.0081,0.0004	0.0273	-0.0009,-0.0012,0.0021	-0.0433	0.0026,-0.0025,-0.0001	NA	NA	-0.0265	0.0059,0.0,-0.0059	NA	NA	Virus retained	495	Haploid
Evolved in pH 7.3	clone9	-0.1338	0.0035,-0.0052,0.0017	0.0731	0.0047,0.0013,-0.006	NA	NA	NA	NA	-0.0862	-0.0111,0.0108,0.0003	NA	NA	-0.0939	-0.0014,0.0024,-0.001	-0.0364	0.0008,-0.0005,-0.0003	-0.1482	-0.0083,0.0015,0.0068	-0.0205	-0.0021,-0.0012,0.0033	0.074	0.0025,-0.0011,-0.0014	-0.0321	-0.0004,0.0026,-0.0022	NA	NA	-0.1322	-0.0121,-0.0049,0.017	NA	NA	Virus lost	495	Haploid
Evolved in pH 7.3	clone10	-0.0939	-0.0085,0.0011,0.0074	-0.1358	-0.0132,0.0196,-0.0064	NA	NA	NA	NA	-0.1029	0.0267,-0.0514,0.0247	NA	NA	-0.1045	0.0059,-0.0053,-0.0006	-0.0311	-0.0028,0.0001,0.0027	-0.1164	-0.0075,0.0191,-0.0116	-0.0515	-0.0022,0.004,-0.0018	0.0306	-0.0079,-0.0157,0.0236	-0.0458	0.0015,-0.0038,0.0023	NA	NA	-0.1294	0.0399,-0.0285,-0.0114	NA	NA	Virus lost	495	Haploid
Evolved in pH 7.3	clone11	-0.0951	-0.0095,-0.006,0.0154	-0.1358	-0.0051,0.008,-0.0029	NA	NA	NA	NA	-0.1431	0.0328,-0.0246,-0.0082	NA	NA	-0.0942	-0.0064,-0.0114,0.0178	-0.0522	-0.0031,0.0038,-0.0007	-0.16	-0.0029,0.0127,-0.0098	-0.1147	-0.0025,0.0001,0.0024	0.0222	-0.001,-0.0009,0.0018	-0.0265	0.0023,-0.0023,0.0001	NA	NA	-0.1745	-0.0106,0.008,0.0026	NA	NA	Virus lost	495	Haploid
Evolved in pH 7.3	clone12	-0.0021	0.0043,0.0001,-0.0044	0.0062	0.0043,0.0002,-0.0045	NA	NA	NA	NA	0.0053	-0.0039,0.0009,0.003	NA	NA	-0.1284	-0.0018,0.0101,-0.0082	0.0134	0.0013,-0.0026,0.0013	-0.0047	-0.0035,0.0027,0.0008	0.0137	0.0007,-0.0007,-0.0	0.0193	0.0037,0.0038,-0.0074	-0.0258	0.0017,-0.0005,-0.0011	NA	NA	0.0081	-0.0005,0.0008,-0.0003	NA	NA	Virus retained	495	Haploid
Evolved in pH 7.3	clone13	-0.0529	0.0058,-0.0055,-0.0003	0.0354	-0.002,-0.0059,0.0079	NA	NA	NA	NA	-0.1779	0.021,-0.0116,-0.0094	NA	NA	-0.0767	0.0074,-0.0053,-0.0021	-0.0413	0.0015,-0.0028,0.0013	-0.1531	-0.0035,0.0008,0.0027	0.0198	-0.006,0.0053,0.0007	0.0365	-0.01,0.0008,0.0092	-0.0252	0.0014,-0.0005,-0.0009	NA	NA	-0.0569	-0.0065,-0.0036,0.0101	NA	NA	Virus lost	495	Haploid
Evolved in pH 7.3	clone14	-0.0828	-0.0064,0.006,0.0003	-0.0448	-0.0001,0.0013,-0.0013	NA	NA	NA	NA	-0.1444	0.011,0.0345,-0.0455	NA	NA	0.0157	-0.0043,0.0002,0.0041	0.009	0.0003,-0.0008,0.0005	-0.2525	0.0068,-0.0037,-0.0031	-0.007	-0.0033,0.002,0.0013	0.0314	-0.0004,-0.0001,0.0006	-0.0508	0.0029,-0.0023,-0.0005	NA	NA	-0.1154	0.0034,-0.0097,0.0063	NA	NA	Virus lost	495	Haploid
Evolved in pH 7.3	clone15	0.0061	0.0012,-0.0025,0.0013	-0.0633	-0.0006,-0.0005,0.0011	NA	NA	NA	NA	0.01	0.0032,-0.0013,-0.0019	NA	NA	0.007	0.0007,-0.0019,0.0012	0.0081	-0.0017,0.0019,-0.0002	-0.0004	0.0,-0.0015,0.0014	0.0146	0.0021,-0.0011,-0.001	0.044	-0.003,0.0011,0.0019	-0.0782	0.0013,0.0005,-0.0017	NA	NA	-0.0117	0.0027,-0.0013,-0.0013	NA	NA	Virus retained	495	Haploid
Evolved in pH 7.3	clone16	-0.0456	0.0011,0.0042,-0.0053	-0.0095	-0.0018,0.0045,-0.0028	NA	NA	NA	NA	-0.2107	0.0132,0.0007,-0.014	NA	NA	-0.0045	0.0019,-0.0011,-0.0009	-0.0159	0.0014,0.0013,-0.0027	-0.2045	-0.0092,0.0032,0.006	-0.0035	-0.0016,0.0002,0.0014	0.0512	-0.0009,0.0029,-0.0021	-0.1353	0.0072,0.0008,-0.008	NA	NA	-0.0621	0.0057,-0.0071,0.0014	NA	NA	Virus lost	495	Haploid
Evolved in pH 7.3	clone17	-0.0106	0.0021,0.0021,-0.0043	-0.0236	0.0073,-0.0039,-0.0034	NA	NA	NA	NA	-0.2366	0.0136,0.012,-0.0256	NA	NA	-0.0017	-0.0028,-0.0024,0.0051	0.0054	-0.0016,0.0012,0.0003	-0.2371	-0.0126,0.0038,0.0088	0.0031	-0.0014,0.0017,-0.0003	0.0551	-0.0042,0.0008,0.0034	-0.0516	0.0016,-0.0045,0.0029	NA	NA	-0.082	0.0023,-0.0035,0.0013	NA	NA	Virus lost	495	Haploid
Evolved in pH 7.3	clone18	-0.1278	0.0033,-0.026,0.0227	-0.0979	0.0051,-0.0075,0.0024	NA	NA	NA	NA	-0.0941	-0.005,0.0331,-0.0281	NA	NA	-0.0617	-0.0013,0.0108,-0.0095	0.0343	-0.0013,0.004,-0.0027	-0.1256	0.0101,0.039,-0.0491	-0.0299	-0.0021,0.0031,-0.001	0.0241	0.0031,0.0039,-0.007	-0.0821	0.0024,-0.0052,0.0028	NA	NA	-0.1681	-0.0007,-0.0189,0.0196	NA	NA	Virus lost	495	Haploid
Evolved in pH 7.3	clone19	-0.0352	0.0035,-0.0045,0.001	0.0225	-0.0005,-0.005,0.0055	NA	NA	NA	NA	-0.0265	-0.001,0.0012,-0.0002	NA	NA	-0.0888	0.0087,-0.0028,-0.0059	-0.0277	0.0043,-0.0025,-0.0019	-0.0329	0.0016,0.0008,-0.0024	-0.0069	-0.0013,-0.0004,0.0017	0.0099	-0.0027,-0.0037,0.0065	-0.0581	-0.0015,0.0018,-0.0003	NA	NA	0.0005	-0.0023,-0.0004,0.0027	NA	NA	Virus retained	495	Haploid
Evolved in pH 7.3	clone20	-0.0193	0.0019,0.0082,-0.0101	-0.0014	0.0504,-0.0313,-0.0191	NA	NA	NA	NA	-0.2215	0.0095,-0.009,-0.0004	NA	NA	-0.0644	0.0087,-0.0176,0.0089	0.0057	-0.021,0.0142,0.0069	-0.1181	0.0006,-0.0094,0.0088	-0.008	-0.0066,0.0038,0.0028	0.0092	-0.002,-0.0009,0.0029	-0.0262	0.0012,-0.0044,0.0031	NA	NA	-0.068	-0.014,-0.0023,0.0164	NA	NA	Virus lost	495	Haploid
Evolved in .2 M	clone1	-0.0026	-0.002,-0.0025,0.0045	0.0672	0.0032,0.0044,-0.0076	0.0671	-0.0002,-0.0033,0.0034	0.0327	-0.0004,0.0017,-0.0013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone2	-0.1125	0.006,-0.0144,0.0085	-0.0494	-0.0188,-0.0281,0.0469	0.0346	-0.0012,0.0102,-0.009	-0.0522	0.0033,0.0032,-0.0065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus lost	819	Haploid
Evolved in .2 M	clone3	-0.0597	0.001,-0.0116,0.0106	0.0668	0.0021,0.0027,-0.0049	0.0619	0.0008,0.0011,-0.0019	-0.0319	0.0085,0.0001,-0.0086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus lost	819	Haploid
Evolved in .2 M	clone4	-0.0825	0.0095,-0.018,0.0084	0.0284	0.0006,-0.0007,0.0001	0.0325	-0.0009,0.0061,-0.0052	-0.0295	-0.0035,0.0073,-0.0038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus lost	819	Haploid
Evolved in .2 M	clone5	0.0162	-0.0032,0.0002,0.0029	0.1114	0.0212,-0.0045,-0.0166	0.0919	0.0035,-0.0034,-0.0001	0.0518	0.0029,0.0032,-0.0061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone6	-0.1253	-0.0228,-0.0123,0.0351	-0.0888	-0.0124,0.0139,-0.0015	-0.0373	0.0009,0.0107,-0.0116	-0.0788	-0.0009,-0.0002,0.0011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus lost	819	Haploid
Evolved in .2 M	clone7	0.0167	-0.0045,-0.0033,0.0078	0.1174	0.0157,0.0086,-0.0243	0.0803	0.0009,0.0036,-0.0046	0.0465	0.0055,-0.001,-0.0045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone8	-0.0384	-0.0195,-0.0064,0.0259	0.0735	0.0085,-0.0009,-0.0076	0.0752	0.0003,-0.0022,0.0019	-0.0101	0.0074,0.0039,-0.0113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus lost	819	Haploid
Evolved in .2 M	clone9	0.0251	0.0029,0.0022,-0.0051	0.0959	0.0067,0.0012,-0.0079	0.084	-0.0005,0.0015,-0.001	0.0522	-0.0028,0.002,0.0008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone10	0.0062	-0.0022,-0.0001,0.0022	0.0127	0.0146,-0.0402,0.0256	0.0776	-0.0008,0.0015,-0.0006	0.0385	0.0021,0.0014,-0.0035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone11	0.019	-0.0009,0.0002,0.0007	0.1535	0.0305,-0.0093,-0.0212	0.0957	0.001,-0.0013,0.0003	0.0549	-0.0008,0.0015,-0.0008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone12	0.0504	-0.0007,0.0023,-0.0016	-0.0002	0.0038,0.0018,-0.0056	0.0862	-0.0007,-0.002,0.0026	0.086	0.0038,0.0084,-0.0122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Diploid
Evolved in .2 M	clone13	0.0397	-0.0025,-0.0041,0.0066	-0.0236	0.0043,0.004,-0.0083	0.0115	0.001,-0.0033,0.0023	0.0549	0.0012,0.0054,-0.0066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Diploid
Evolved in .2 M	clone14	0.0091	0.0004,-0.0004,-0.0	0.1138	0.008,-0.0058,-0.0022	0.0869	-0.0041,0.0013,0.0028	0.0474	-0.0013,0.0032,-0.0019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone15	0.0069	-0.0009,-0.003,0.0039	0.1357	0.0217,-0.0199,-0.0018	0.0837	0.0014,0.0023,-0.0037	0.0449	-0.0007,0.0035,-0.0027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone16	0.0169	0.0002,-0.0005,0.0003	-0.011	-0.007,0.0146,-0.0077	0.0342	0.0017,-0.0017,-0.0001	0.035	-0.0027,-0.0001,0.0028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone17	0.015	0.0045,-0.0039,-0.0006	-0.0107	-0.0056,0.001,0.0046	0.0331	-0.0004,0.0025,-0.0021	0.0336	0.0008,0.0011,-0.0019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone18	0.008	-0.0002,0.0005,-0.0003	0.0576	-0.0068,0.0075,-0.0007	0.0766	-0.0007,0.0049,-0.0042	0.0425	-0.0005,-0.0001,0.0006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
Evolved in .2 M	clone19	-0.1168	-0.016,-0.0036,0.0196	-0.1001	0.0011,-0.0033,0.0023	-0.0473	0.0061,0.0084,-0.0144	-0.0658	-0.0026,0.0091,-0.0065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus lost	819	Haploid
Evolved in .2 M	clone20	-0.0024	0.0017,0.0001,-0.0017	0.0452	-0.0214,0.0097,0.0117	0.0572	0.0034,-0.0002,-0.0032	0.0242	0.0017,-0.0003,-0.0014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Virus retained	819	Haploid
